TimeStep,LocalEdgeServiceTime,OtherEdgeServiceTime,CloudServiceTime,AvgEdgeUtilization,CloudUtilization
3.0,8.666666666666666,0.0,1.0,73.65602239406745,18.934751578115826
4.0,9.866666666666667,0.0,4.5,77.74664755597824,33.39060987312546
5.0,10.777777777777779,0.0,6.0,86.6954532017715,44.84865565203273
6.0,11.619047619047619,0.0,7.0,76.92230133704709,57.77210381137991
7.0,12.375,0.0,6.8,74.37215853105947,66.50701928637363
8.0,13.037037037037036,0.0,6.5,65.78434231575538,75.18024589881452
9.0,13.633333333333333,0.0,6.428571428571429,73.84719039852884,81.3522529244923
10.0,14.090909090909092,0.0,6.25,77.36084193092759,86.90626798641586
11.0,14.428571428571429,18.0,6.222222222222222,84.49598775530474,91.2254028112017
12.0,14.921052631578947,18.0,6.4,86.19687886205024,91.90244435080739
13.0,15.25,19.0,6.545454545454546,90.25235053461677,91.60335049006997
14.0,15.595238095238095,19.666666666666668,6.75,92.0442569928778,94.86533038990488
15.0,15.977272727272727,20.5,7.076923076923077,85.22554325846761,96.26353404943326
16.0,16.51063829787234,20.5,7.428571428571429,83.1398291652708,95.36516416774896
17.0,16.877551020408163,21.2,7.733333333333333,87.96914687810715,94.65380485088365
18.0,17.274509803921568,21.833333333333332,8.125,98.35358557863032,94.88411877271332
19.0,17.67924528301887,22.571428571428573,8.529411764705882,85.67253333941649,97.30726028489102
20.0,18.09090909090909,23.25,8.944444444444445,79.6577063089315,97.84141811195484
21.0,18.689655172413794,23.25,9.368421052631579,73.01743325815268,99.78878739601788
22.0,19.1,24.0,9.8,67.32584933072638,100.0
23.0,19.58730158730159,24.0,10.142857142857142,76.5574489641234,100.0
24.0,20.060606060606062,24.0,10.5,74.86838311210725,98.36693474174427
25.0,20.52173913043478,24.0,10.869565217391305,72.46635498105225,97.15289623313211
26.0,20.830985915492956,25.1,11.25,73.67193477963859,96.68785799656467
27.0,21.31081081081081,25.1,11.64,73.20463460589139,98.0376446111321
28.0,21.727272727272727,25.1,12.038461538461538,63.92132680915797,98.04550059041952
29.0,22.0126582278481,25.727272727272727,12.407407407407407,73.85922887216287,98.16269943728295
